SSID,BSSID,Signal Strength,current BSSID,x,y
eduroam,44:12:44:6d:49:b1,-79,0,792,555
eduroam,44:12:44:6a:05:d1,-75,0,792,555
eduroam,44:12:44:6d:1e:01,-65,0,792,555
eduroam,44:12:44:6d:c5:51,-62,0,792,555
eduroam,44:12:44:6c:77:01,-80,0,792,555
eduroam,44:12:44:6b:96:21,-68,0,792,555
eduroam,44:12:44:6e:b9:c1,-84,0,792,555
eduroam,44:12:44:6e:a3:21,-86,0,792,555
eduroam,44:12:44:6a:63:c1,-68,0,792,555
eduroam,94:64:24:9b:07:81,-66,0,792,555
eduroam,44:12:44:6a:b0:11,-67,0,792,555
eduroam,44:12:44:6c:38:91,-85,0,792,555
eduroam,44:12:44:6d:83:11,-81,0,792,555
eduroam,44:12:44:6c:77:21,-68,0,792,555
eduroam,44:12:44:6b:00:31,-54,0,792,555
eduroam,44:12:44:6e:17:91,-84,0,792,555
eduroam,44:12:44:6d:cd:b1,-79,0,792,555
eduroam,44:12:44:6a:05:b1,-76,0,792,555
eduroam,44:12:44:6e:f5:01,-78,0,792,555
eduroam,44:12:44:6b:96:01,-70,0,792,555
eduroam,44:12:44:6d:9b:41,-81,0,792,555
eduroam,74:9e:75:45:d3:61,-83,0,792,555
eduroam,44:12:44:6e:68:c1,-67,0,792,555
eduroam,44:12:44:6e:bf:41,-79,0,792,555
eduroam,94:64:24:9b:07:61,-72,0,792,555
eduroam,44:12:44:6b:5d:c1,-67,0,792,555
eduroam,44:12:44:6a:69:01,-58,0,792,555
eduroam,44:12:44:6b:8c:71,-77,0,792,555
eduroam,44:12:44:6d:49:91,-75,0,792,555
eduroam,44:12:44:6b:5d:e1,-58,0,792,555
eduroam,44:12:44:6d:32:71,-84,0,792,555
eduroam,44:12:44:6d:2e:21,-76,0,792,555
eduroam,44:12:44:6e:bf:61,-76,0,792,555
eduroam,44:12:44:6d:1d:e1,-77,0,792,555
eduroam,44:12:44:6c:3b:51,-63,0,792,555
eduroam,44:12:44:6b:00:51,-57,0,792,555
eduroam,44:12:44:69:a6:c1,-78,0,792,555
eduroam,44:12:44:6b:63:31,-77,0,792,555
eduroam,44:12:44:6b:03:51,-81,0,792,555
eduroam,44:12:44:6c:1f:a1,-75,0,792,555
eduroam,44:12:44:6b:63:51,-65,0,792,555
eduroam,44:12:44:6c:09:e1,-82,0,792,555
eduroam,44:12:44:6d:1e:d1,-83,0,792,555
eduroam,44:12:44:6d:16:e1,-75,0,792,555
eduroam,44:12:44:69:e1:21,-74,0,792,555
eduroam,44:12:44:69:b1:11,-78,0,792,555
eduroam,44:12:44:6c:38:b1,-81,0,792,555
eduroam,44:12:44:69:70:41,-76,0,792,555
eduroam,44:12:44:6b:8c:91,-68,0,792,555
eduroam,44:12:44:6c:0a:01,-78,0,792,555
eduroam,44:12:44:6e:a1:91,-78,0,792,555
eduroam,44:12:44:69:70:61,-67,0,792,555
eduroam,44:12:44:6e:a3:41,-80,0,792,555
eduroam,44:12:44:6c:c5:81,-75,0,792,555
IllinoisNet,44:12:44:6e:a1:90,-79,0,792,555
IllinoisNet,44:12:44:6a:29:d0,-75,0,792,555
IllinoisNet,44:12:44:6a:af:f0,-71,0,792,555
IllinoisNet,44:12:44:6a:0c:00,-75,0,792,555
IllinoisNet,44:12:44:6a:69:00,-58,0,792,555
IllinoisNet,44:12:44:6a:29:b0,-80,0,792,555
IllinoisNet,44:12:44:6e:68:a0,-71,0,792,555
IllinoisNet,44:12:44:6c:c5:80,-71,0,792,555
IllinoisNet,44:12:44:6a:09:90,-79,0,792,555
IllinoisNet,44:12:44:6a:63:a0,-68,0,792,555
IllinoisNet,44:12:44:6c:77:00,-80,0,792,555
IllinoisNet,44:12:44:6c:3b:50,-64,0,792,555
IllinoisNet,44:12:44:6d:c5:70,-51,1,792,555
IllinoisNet,44:12:44:6e:68:c0,-68,0,792,555
IllinoisNet,44:12:44:6d:16:e0,-75,0,792,555
IllinoisNet,44:12:44:6a:05:d0,-75,0,792,555
IllinoisNet,44:12:44:6d:49:b0,-79,0,792,555
IllinoisNet,44:12:44:6e:f8:90,-84,0,792,555
IllinoisNet,44:12:44:6b:96:20,-68,0,792,555
IllinoisNet,44:12:44:6b:5d:c0,-58,0,792,555
IllinoisNet,44:12:44:6a:63:c0,-68,0,792,555
IllinoisNet,94:64:24:9b:07:80,-63,0,792,555
IllinoisNet,44:12:44:6a:b0:10,-66,0,792,555
IllinoisNet,44:12:44:69:b1:10,-79,0,792,555
IllinoisNet,44:12:44:6a:05:b0,-80,0,792,555
IllinoisNet,44:12:44:6d:83:10,-81,0,792,555
IllinoisNet,44:12:44:6c:3b:30,-68,0,792,555
IllinoisNet,44:12:44:6d:82:f0,-79,0,792,555
IllinoisNet,44:12:44:69:e1:40,-71,0,792,555
IllinoisNet,44:12:44:69:fb:60,-82,0,792,555
IllinoisNet,44:12:44:6e:a3:40,-79,0,792,555
IllinoisNet,44:12:44:6c:38:90,-87,0,792,555
IllinoisNet,44:12:44:6e:f5:00,-76,0,792,555
IllinoisNet,44:12:44:6a:68:e0,-61,0,792,555
IllinoisNet,44:12:44:6c:77:20,-67,0,792,555
IllinoisNet,44:12:44:6d:cd:b0,-79,0,792,555
IllinoisNet,44:12:44:6e:a3:20,-88,0,792,555
IllinoisNet,44:12:44:6b:03:50,-80,0,792,555
IllinoisNet,44:12:44:6d:9b:40,-81,0,792,555
IllinoisNet,94:64:24:9b:07:60,-70,0,792,555
IllinoisNet,44:12:44:6e:17:90,-84,0,792,555
IllinoisNet,44:12:44:6b:00:50,-55,0,792,555
IllinoisNet,44:12:44:6c:1f:c0,-72,0,792,555
IllinoisNet,44:12:44:6d:39:c0,-82,0,792,555
IllinoisNet,44:12:44:6e:b9:c0,-84,0,792,555
IllinoisNet,44:12:44:6e:bf:60,-77,0,792,555
IllinoisNet,44:12:44:6d:1e:00,-68,0,792,555
IllinoisNet,44:12:44:6c:38:b0,-81,0,792,555
IllinoisNet,44:12:44:6b:8c:90,-70,0,792,555
IllinoisNet,44:12:44:69:70:40,-77,0,792,555
IllinoisNet,74:9e:75:45:d3:60,-83,0,792,555
IllinoisNet,44:12:44:6d:1d:e0,-68,0,792,555
IllinoisNet,44:12:44:6d:2e:20,-77,0,792,555
IllinoisNet,44:12:44:6b:00:30,-57,0,792,555
IllinoisNet,44:12:44:6b:63:30,-76,0,792,555
IllinoisNet,44:12:44:6e:bf:40,-83,0,792,555
IllinoisNet,44:12:44:6b:ce:a0,-80,0,792,555
IllinoisNet,44:12:44:6c:1f:a0,-72,0,792,555
IllinoisNet,44:12:44:6b:63:50,-64,0,792,555
IllinoisNet,44:12:44:6d:32:70,-83,0,792,555
IllinoisNet,44:12:44:6b:5d:e0,-55,0,792,555
IllinoisNet,44:12:44:6d:c5:50,-68,0,792,555
IllinoisNet,44:12:44:6a:0b:e0,-77,0,792,555
IllinoisNet,44:12:44:69:e1:20,-73,0,792,555
IllinoisNet,44:12:44:6d:9b:20,-86,0,792,555
IllinoisNet,44:12:44:69:a6:c0,-78,0,792,555
IllinoisNet,44:12:44:69:fb:80,-75,0,792,555
IllinoisNet,44:12:44:6d:49:90,-75,0,792,555
IllinoisNet,44:12:44:69:70:60,-74,0,792,555
IllinoisNet,44:12:44:6d:1e:d0,-79,0,792,555
eduroam,44:12:44:6c:1f:c1,-69,0,792,555
eduroam,44:12:44:6e:f8:91,-84,0,792,555
eduroam,44:12:44:6a:29:d1,-75,0,792,555
eduroam,44:12:44:6a:29:b1,-85,0,792,555
eduroam,44:12:44:6d:c5:71,-49,0,792,555
eduroam,44:12:44:6d:39:c1,-83,0,792,555
eduroam,44:12:44:69:e1:41,-73,0,792,555
eduroam,44:12:44:6c:3b:31,-68,0,792,555
eduroam,44:12:44:6a:af:f1,-70,0,792,555
eduroam,44:12:44:6a:63:a1,-67,0,792,555
eduroam,44:12:44:6a:68:e1,-61,0,792,555
eduroam,44:12:44:69:fb:61,-86,0,792,555
eduroam,44:12:44:6b:ce:a1,-81,0,792,555
eduroam,44:12:44:6a:09:91,-79,0,792,555
eduroam,44:12:44:6d:49:b1,-79,0,792,555
eduroam,44:12:44:6a:05:d1,-75,0,792,555
eduroam,44:12:44:6d:1e:01,-68,0,792,555
eduroam,44:12:44:6d:c5:51,-69,0,792,555
eduroam,44:12:44:6c:77:01,-81,0,792,555
eduroam,44:12:44:6b:96:21,-68,0,792,555
eduroam,44:12:44:6e:b9:c1,-84,0,792,555
eduroam,44:12:44:6e:a3:21,-86,0,792,555
eduroam,44:12:44:6a:63:c1,-68,0,792,555
eduroam,44:12:44:6d:9b:21,-84,0,792,555
eduroam,94:64:24:9b:07:81,-63,0,792,555
eduroam,44:12:44:6a:b0:11,-66,0,792,555
eduroam,44:12:44:6c:38:91,-85,0,792,555
eduroam,44:12:44:6d:83:11,-81,0,792,555
eduroam,44:12:44:6c:77:21,-67,0,792,555
eduroam,44:12:44:6b:00:31,-63,0,792,555
eduroam,44:12:44:6e:17:91,-84,0,792,555
eduroam,44:12:44:6d:cd:b1,-79,0,792,555
eduroam,44:12:44:6a:05:b1,-76,0,792,555
eduroam,44:12:44:6e:f5:01,-76,0,792,555
eduroam,44:12:44:6b:96:01,-70,0,792,555
eduroam,44:12:44:6d:9b:41,-81,0,792,555
eduroam,74:9e:75:45:d3:61,-83,0,792,555
eduroam,44:12:44:6e:68:c1,-68,0,792,555
eduroam,44:12:44:6e:bf:41,-79,0,792,555
eduroam,94:64:24:9b:07:61,-65,0,792,555
eduroam,44:12:44:6b:5d:c1,-58,0,792,555
eduroam,44:12:44:6a:69:01,-58,0,792,555
eduroam,44:12:44:6d:49:91,-75,0,792,555
eduroam,44:12:44:6b:5d:e1,-55,0,792,555
eduroam,44:12:44:6d:32:71,-84,0,792,555
eduroam,44:12:44:6d:2e:21,-78,0,792,555
eduroam,44:12:44:6e:bf:61,-76,0,792,555
eduroam,44:12:44:6d:1d:e1,-69,0,792,555
eduroam,44:12:44:6c:3b:51,-64,0,792,555
eduroam,44:12:44:6b:00:51,-55,0,792,555
eduroam,44:12:44:69:a6:c1,-78,0,792,555
eduroam,44:12:44:6b:63:31,-77,0,792,555
eduroam,44:12:44:6b:03:51,-81,0,792,555
eduroam,44:12:44:6c:1f:a1,-75,0,792,555
eduroam,44:12:44:6b:63:51,-69,0,792,555
eduroam,44:12:44:6c:09:e1,-82,0,792,555
eduroam,44:12:44:6d:1e:d1,-83,0,792,555
eduroam,44:12:44:6d:16:e1,-75,0,792,555
eduroam,44:12:44:69:e1:21,-74,0,792,555
eduroam,44:12:44:69:b1:11,-78,0,792,555
eduroam,44:12:44:6c:38:b1,-81,0,792,555
eduroam,44:12:44:69:70:41,-76,0,792,555
eduroam,44:12:44:6b:8c:91,-70,0,792,555
eduroam,44:12:44:6c:0a:01,-78,0,792,555
eduroam,44:12:44:6e:a1:91,-78,0,792,555
eduroam,44:12:44:69:70:61,-74,0,792,555
eduroam,44:12:44:6e:a3:41,-80,0,792,555
eduroam,44:12:44:6c:c5:81,-72,0,792,555
eduroam,44:12:44:6c:1f:c1,-69,0,792,555
eduroam,44:12:44:6e:f8:91,-84,0,792,555
eduroam,44:12:44:6a:29:d1,-75,0,792,555
eduroam,44:12:44:6a:29:b1,-85,0,792,555
eduroam,44:12:44:6d:c5:71,-49,0,792,555
eduroam,44:12:44:6d:39:c1,-83,0,792,555
eduroam,44:12:44:69:e1:41,-73,0,792,555
eduroam,44:12:44:6c:3b:31,-68,0,792,555
eduroam,44:12:44:6a:af:f1,-70,0,792,555
eduroam,44:12:44:6a:63:a1,-67,0,792,555
eduroam,44:12:44:6a:68:e1,-61,0,792,555
eduroam,44:12:44:69:fb:61,-86,0,792,555
eduroam,44:12:44:6b:ce:a1,-81,0,792,555
eduroam,44:12:44:6a:09:91,-79,0,792,555
eduroam,44:12:44:6d:49:b1,-79,0,792,555
eduroam,44:12:44:6a:05:d1,-75,0,792,555
eduroam,44:12:44:6d:1e:01,-68,0,792,555
eduroam,44:12:44:6d:c5:51,-69,0,792,555
eduroam,44:12:44:6c:77:01,-81,0,792,555
eduroam,44:12:44:6b:96:21,-68,0,792,555
eduroam,44:12:44:6e:b9:c1,-84,0,792,555
eduroam,44:12:44:6e:a3:21,-86,0,792,555
eduroam,44:12:44:6a:63:c1,-68,0,792,555
eduroam,44:12:44:6d:9b:21,-84,0,792,555
eduroam,94:64:24:9b:07:81,-63,0,792,555
eduroam,44:12:44:6a:b0:11,-66,0,792,555
eduroam,44:12:44:6c:38:91,-85,0,792,555
eduroam,44:12:44:6d:83:11,-81,0,792,555
eduroam,44:12:44:6c:77:21,-67,0,792,555
eduroam,44:12:44:6b:00:31,-63,0,792,555
eduroam,44:12:44:6e:17:91,-84,0,792,555
eduroam,44:12:44:6d:cd:b1,-79,0,792,555
eduroam,44:12:44:6a:05:b1,-76,0,792,555
eduroam,44:12:44:6e:f5:01,-76,0,792,555
eduroam,44:12:44:6b:96:01,-70,0,792,555
eduroam,44:12:44:6d:9b:41,-81,0,792,555
eduroam,74:9e:75:45:d3:61,-83,0,792,555
eduroam,44:12:44:6e:68:c1,-68,0,792,555
eduroam,44:12:44:6e:bf:41,-79,0,792,555
eduroam,94:64:24:9b:07:61,-65,0,792,555
eduroam,44:12:44:6b:5d:c1,-58,0,792,555
eduroam,44:12:44:6a:69:01,-58,0,792,555
eduroam,44:12:44:6d:49:91,-75,0,792,555
eduroam,44:12:44:6b:5d:e1,-55,0,792,555
eduroam,44:12:44:6d:32:71,-84,0,792,555
eduroam,44:12:44:6d:2e:21,-78,0,792,555
eduroam,44:12:44:6e:bf:61,-76,0,792,555
eduroam,44:12:44:6d:1d:e1,-69,0,792,555
eduroam,44:12:44:6c:3b:51,-64,0,792,555
eduroam,44:12:44:6b:00:51,-55,0,792,555
eduroam,44:12:44:69:a6:c1,-78,0,792,555
eduroam,44:12:44:6b:63:31,-77,0,792,555
eduroam,44:12:44:6b:03:51,-81,0,792,555
eduroam,44:12:44:6c:1f:a1,-75,0,792,555
eduroam,44:12:44:6b:63:51,-69,0,792,555
eduroam,44:12:44:6c:09:e1,-82,0,792,555
eduroam,44:12:44:6d:1e:d1,-83,0,792,555
eduroam,44:12:44:6d:16:e1,-75,0,792,555
eduroam,44:12:44:69:e1:21,-74,0,792,555
eduroam,44:12:44:69:b1:11,-78,0,792,555
eduroam,44:12:44:6c:38:b1,-81,0,792,555
eduroam,44:12:44:69:70:41,-76,0,792,555
eduroam,44:12:44:6b:8c:91,-70,0,792,555
eduroam,44:12:44:6c:0a:01,-78,0,792,555
eduroam,44:12:44:6e:a1:91,-78,0,792,555
eduroam,44:12:44:69:70:61,-74,0,792,555
eduroam,44:12:44:6e:a3:41,-80,0,792,555
eduroam,44:12:44:6c:c5:81,-72,0,792,555
IllinoisNet,44:12:44:6e:a1:90,-79,0,792,555
IllinoisNet,44:12:44:6a:29:d0,-75,0,792,555
IllinoisNet,44:12:44:6a:af:f0,-71,0,792,555
IllinoisNet,44:12:44:6a:0c:00,-75,0,792,555
IllinoisNet,44:12:44:6a:69:00,-58,0,792,555
IllinoisNet,44:12:44:6a:29:b0,-80,0,792,555
IllinoisNet,44:12:44:6e:68:a0,-71,0,792,555
IllinoisNet,44:12:44:6c:c5:80,-71,0,792,555
IllinoisNet,44:12:44:6a:09:90,-79,0,792,555
IllinoisNet,44:12:44:6a:63:a0,-68,0,792,555
IllinoisNet,44:12:44:6c:77:00,-80,0,792,555
IllinoisNet,44:12:44:6c:3b:50,-64,0,792,555
IllinoisNet,44:12:44:6d:c5:70,-51,1,792,555
IllinoisNet,44:12:44:6e:68:c0,-68,0,792,555
IllinoisNet,44:12:44:6d:16:e0,-75,0,792,555
IllinoisNet,44:12:44:6a:05:d0,-75,0,792,555
IllinoisNet,44:12:44:6d:49:b0,-79,0,792,555
IllinoisNet,44:12:44:6e:f8:90,-84,0,792,555
IllinoisNet,44:12:44:6b:96:20,-68,0,792,555
IllinoisNet,44:12:44:6b:5d:c0,-58,0,792,555
IllinoisNet,44:12:44:6a:63:c0,-68,0,792,555
IllinoisNet,94:64:24:9b:07:80,-63,0,792,555
IllinoisNet,44:12:44:6a:b0:10,-66,0,792,555
IllinoisNet,44:12:44:69:b1:10,-79,0,792,555
IllinoisNet,44:12:44:6a:05:b0,-80,0,792,555
IllinoisNet,44:12:44:6d:83:10,-81,0,792,555
IllinoisNet,44:12:44:6c:3b:30,-68,0,792,555
IllinoisNet,44:12:44:6d:82:f0,-79,0,792,555
IllinoisNet,44:12:44:69:e1:40,-71,0,792,555
IllinoisNet,44:12:44:69:fb:60,-82,0,792,555
IllinoisNet,44:12:44:6e:a3:40,-79,0,792,555
IllinoisNet,44:12:44:6c:38:90,-87,0,792,555
IllinoisNet,44:12:44:6e:f5:00,-76,0,792,555
IllinoisNet,44:12:44:6a:68:e0,-61,0,792,555
IllinoisNet,44:12:44:6c:77:20,-67,0,792,555
IllinoisNet,44:12:44:6d:cd:b0,-79,0,792,555
IllinoisNet,44:12:44:6e:a3:20,-88,0,792,555
IllinoisNet,44:12:44:6b:03:50,-80,0,792,555
IllinoisNet,44:12:44:6d:9b:40,-81,0,792,555
IllinoisNet,94:64:24:9b:07:60,-70,0,792,555
IllinoisNet,44:12:44:6e:17:90,-84,0,792,555
IllinoisNet,44:12:44:6b:00:50,-55,0,792,555
IllinoisNet,44:12:44:6c:1f:c0,-72,0,792,555
IllinoisNet,44:12:44:6d:39:c0,-82,0,792,555
IllinoisNet,44:12:44:6e:b9:c0,-84,0,792,555
IllinoisNet,44:12:44:6e:bf:60,-77,0,792,555
IllinoisNet,44:12:44:6d:1e:00,-68,0,792,555
IllinoisNet,44:12:44:6c:38:b0,-81,0,792,555
IllinoisNet,44:12:44:6b:8c:90,-70,0,792,555
IllinoisNet,44:12:44:69:70:40,-77,0,792,555
IllinoisNet,74:9e:75:45:d3:60,-83,0,792,555
IllinoisNet,44:12:44:6d:1d:e0,-68,0,792,555
IllinoisNet,44:12:44:6d:2e:20,-77,0,792,555
IllinoisNet,44:12:44:6b:00:30,-57,0,792,555
IllinoisNet,44:12:44:6b:63:30,-76,0,792,555
IllinoisNet,44:12:44:6e:bf:40,-83,0,792,555
IllinoisNet,44:12:44:6b:ce:a0,-80,0,792,555
IllinoisNet,44:12:44:6c:1f:a0,-72,0,792,555
IllinoisNet,44:12:44:6b:63:50,-64,0,792,555
IllinoisNet,44:12:44:6d:32:70,-83,0,792,555
IllinoisNet,44:12:44:6b:5d:e0,-55,0,792,555
IllinoisNet,44:12:44:6d:c5:50,-68,0,792,555
IllinoisNet,44:12:44:6a:0b:e0,-77,0,792,555
IllinoisNet,44:12:44:69:e1:20,-73,0,792,555
IllinoisNet,44:12:44:6d:9b:20,-86,0,792,555
IllinoisNet,44:12:44:69:a6:c0,-78,0,792,555
IllinoisNet,44:12:44:69:fb:80,-75,0,792,555
IllinoisNet,44:12:44:6d:49:90,-75,0,792,555
IllinoisNet,44:12:44:69:70:60,-74,0,792,555
IllinoisNet,44:12:44:6d:1e:d0,-79,0,792,555
IllinoisNet,44:12:44:6e:a1:90,-79,0,868,565
IllinoisNet,44:12:44:6a:29:d0,-75,0,868,565
IllinoisNet,44:12:44:6a:af:f0,-71,0,868,565
IllinoisNet,44:12:44:6a:0c:00,-75,0,868,565
IllinoisNet,44:12:44:6a:69:00,-58,0,868,565
IllinoisNet,44:12:44:6a:29:b0,-80,0,868,565
IllinoisNet,44:12:44:6e:68:a0,-71,0,868,565
IllinoisNet,44:12:44:6c:c5:80,-78,0,868,565
IllinoisNet,44:12:44:6a:09:90,-75,0,868,565
IllinoisNet,44:12:44:6a:63:a0,-83,0,868,565
IllinoisNet,44:12:44:6c:77:00,-80,0,868,565
IllinoisNet,44:12:44:6c:3b:50,-78,0,868,565
IllinoisNet,44:12:44:6d:c5:70,-63,1,868,565
IllinoisNet,44:12:44:6e:68:c0,-75,0,868,565
IllinoisNet,44:12:44:6d:16:e0,-75,0,868,565
IllinoisNet,44:12:44:6a:05:d0,-75,0,868,565
IllinoisNet,44:12:44:6d:49:b0,-79,0,868,565
IllinoisNet,44:12:44:6e:f8:90,-84,0,868,565
IllinoisNet,44:12:44:6b:96:20,-68,0,868,565
IllinoisNet,44:12:44:6b:5d:c0,-57,0,868,565
IllinoisNet,44:12:44:6a:63:c0,-76,0,868,565
IllinoisNet,94:64:24:9b:07:80,-63,0,868,565
IllinoisNet,44:12:44:6a:b0:10,-62,0,868,565
IllinoisNet,44:12:44:69:b1:10,-79,0,868,565
IllinoisNet,44:12:44:6a:05:b0,-80,0,868,565
IllinoisNet,44:12:44:6c:3b:30,-68,0,868,565
IllinoisNet,44:12:44:6d:82:f0,-79,0,868,565
IllinoisNet,44:12:44:69:e1:40,-71,0,868,565
IllinoisNet,44:12:44:69:fb:60,-82,0,868,565
IllinoisNet,44:12:44:6c:38:90,-87,0,868,565
IllinoisNet,44:12:44:6e:f5:00,-85,0,868,565
IllinoisNet,44:12:44:6a:68:e0,-61,0,868,565
IllinoisNet,44:12:44:6c:77:20,-69,0,868,565
IllinoisNet,44:12:44:6b:db:90,-82,0,868,565
IllinoisNet,44:12:44:6d:cd:b0,-79,0,868,565
IllinoisNet,44:12:44:6e:a3:20,-88,0,868,565
IllinoisNet,44:12:44:6b:03:50,-80,0,868,565
IllinoisNet,44:12:44:6d:9b:40,-81,0,868,565
IllinoisNet,94:64:24:9b:07:60,-70,0,868,565
IllinoisNet,44:12:44:6e:17:90,-84,0,868,565
IllinoisNet,44:12:44:6b:00:50,-63,0,868,565
IllinoisNet,44:12:44:6c:1f:c0,-69,0,868,565
IllinoisNet,44:12:44:6b:03:30,-83,0,868,565
IllinoisNet,44:12:44:6e:b9:c0,-84,0,868,565
IllinoisNet,44:12:44:6e:bf:60,-77,0,868,565
IllinoisNet,44:12:44:6d:1e:00,-77,0,868,565
IllinoisNet,44:12:44:6c:38:b0,-81,0,868,565
IllinoisNet,44:12:44:6b:8c:90,-70,0,868,565
IllinoisNet,44:12:44:69:70:40,-77,0,868,565
IllinoisNet,74:9e:75:45:d3:60,-83,0,868,565
IllinoisNet,44:12:44:6d:1d:e0,-68,0,868,565
IllinoisNet,44:12:44:6d:2e:20,-77,0,868,565
IllinoisNet,44:12:44:6b:00:30,-71,0,868,565
IllinoisNet,44:12:44:6b:63:30,-76,0,868,565
IllinoisNet,44:12:44:6c:c5:60,-80,0,868,565
IllinoisNet,44:12:44:6e:bf:40,-83,0,868,565
IllinoisNet,44:12:44:6b:ce:a0,-80,0,868,565
IllinoisNet,44:12:44:6c:1f:a0,-72,0,868,565
IllinoisNet,44:12:44:6b:63:50,-64,0,868,565
IllinoisNet,44:12:44:6b:5d:e0,-55,0,868,565
IllinoisNet,44:12:44:6d:c5:50,-73,0,868,565
IllinoisNet,44:12:44:6a:0b:e0,-77,0,868,565
IllinoisNet,44:12:44:6d:9b:20,-86,0,868,565
IllinoisNet,44:12:44:69:75:e0,-86,0,868,565
IllinoisNet,44:12:44:69:fb:80,-75,0,868,565
IllinoisNet,44:12:44:69:70:60,-84,0,868,565
IllinoisNet,44:12:44:6d:1e:d0,-79,0,868,565
eduroam,44:12:44:6c:1f:c1,-69,0,868,565
eduroam,44:12:44:6e:f8:91,-84,0,868,565
eduroam,44:12:44:6a:29:d1,-75,0,868,565
eduroam,44:12:44:6b:db:91,-83,0,868,565
eduroam,44:12:44:6a:29:b1,-85,0,868,565
eduroam,44:12:44:6d:c5:71,-63,0,868,565
eduroam,44:12:44:69:e1:41,-73,0,868,565
eduroam,44:12:44:6c:3b:31,-68,0,868,565
eduroam,44:12:44:6a:af:f1,-70,0,868,565
eduroam,44:12:44:6a:63:a1,-67,0,868,565
eduroam,44:12:44:6a:68:e1,-61,0,868,565
eduroam,44:12:44:69:fb:61,-86,0,868,565
eduroam,44:12:44:6b:ce:a1,-81,0,868,565
eduroam,44:12:44:6a:09:91,-76,0,868,565
eduroam,44:12:44:6d:49:b1,-79,0,868,565
eduroam,44:12:44:6a:05:d1,-75,0,868,565
eduroam,44:12:44:6d:1e:01,-77,0,868,565
eduroam,44:12:44:6d:c5:51,-72,0,868,565
eduroam,44:12:44:6c:77:01,-81,0,868,565
eduroam,44:12:44:6b:96:21,-68,0,868,565
eduroam,44:12:44:6e:b9:c1,-84,0,868,565
eduroam,44:12:44:6e:a3:21,-86,0,868,565
eduroam,44:12:44:6a:63:c1,-76,0,868,565
eduroam,44:12:44:6d:9b:21,-84,0,868,565
eduroam,94:64:24:9b:07:81,-83,0,868,565
eduroam,44:12:44:6a:b0:11,-62,0,868,565
eduroam,44:12:44:6c:38:91,-85,0,868,565
eduroam,44:12:44:6c:77:21,-69,0,868,565
eduroam,44:12:44:6b:00:31,-71,0,868,565
eduroam,44:12:44:6e:17:91,-84,0,868,565
eduroam,44:12:44:6d:cd:b1,-79,0,868,565
eduroam,44:12:44:6a:05:b1,-76,0,868,565
eduroam,44:12:44:6e:f5:01,-84,0,868,565
eduroam,44:12:44:6b:96:01,-70,0,868,565
eduroam,44:12:44:6d:9b:41,-81,0,868,565
eduroam,74:9e:75:45:d3:61,-83,0,868,565
eduroam,44:12:44:6e:68:c1,-68,0,868,565
eduroam,44:12:44:6e:bf:41,-79,0,868,565
eduroam,94:64:24:9b:07:61,-65,0,868,565
eduroam,44:12:44:6b:5d:c1,-56,0,868,565
eduroam,44:12:44:6a:69:01,-58,0,868,565
eduroam,44:12:44:6b:5d:e1,-55,0,868,565
eduroam,44:12:44:6d:2e:21,-78,0,868,565
eduroam,44:12:44:6e:bf:61,-76,0,868,565
eduroam,44:12:44:6d:1d:e1,-69,0,868,565
eduroam,44:12:44:6c:3b:51,-64,0,868,565
eduroam,44:12:44:6b:00:51,-63,0,868,565
eduroam,44:12:44:6b:63:31,-75,0,868,565
eduroam,44:12:44:6b:03:51,-81,0,868,565
eduroam,44:12:44:6c:1f:a1,-66,0,868,565
eduroam,44:12:44:6b:63:51,-69,0,868,565
eduroam,44:12:44:6c:09:e1,-82,0,868,565
eduroam,44:12:44:6d:1e:d1,-83,0,868,565
eduroam,44:12:44:6d:16:e1,-75,0,868,565
eduroam,44:12:44:6c:c5:61,-79,0,868,565
eduroam,44:12:44:69:75:e1,-86,0,868,565
eduroam,44:12:44:69:b1:11,-78,0,868,565
eduroam,44:12:44:6c:38:b1,-81,0,868,565
eduroam,44:12:44:69:70:41,-76,0,868,565
eduroam,44:12:44:6b:8c:91,-70,0,868,565
eduroam,44:12:44:6c:0a:01,-78,0,868,565
eduroam,44:12:44:6e:a1:91,-78,0,868,565
eduroam,44:12:44:69:70:61,-84,0,868,565
eduroam,44:12:44:6c:c5:81,-78,0,868,565
eduroam,44:12:44:6c:1f:c1,-69,0,868,565
eduroam,44:12:44:6e:f8:91,-84,0,868,565
eduroam,44:12:44:6a:29:d1,-75,0,868,565
eduroam,44:12:44:6b:db:91,-83,0,868,565
eduroam,44:12:44:6a:29:b1,-85,0,868,565
eduroam,44:12:44:6d:c5:71,-63,0,868,565
eduroam,44:12:44:69:e1:41,-73,0,868,565
eduroam,44:12:44:6c:3b:31,-68,0,868,565
eduroam,44:12:44:6a:af:f1,-70,0,868,565
eduroam,44:12:44:6a:63:a1,-67,0,868,565
eduroam,44:12:44:6a:68:e1,-61,0,868,565
eduroam,44:12:44:69:fb:61,-86,0,868,565
eduroam,44:12:44:6b:ce:a1,-81,0,868,565
eduroam,44:12:44:6a:09:91,-76,0,868,565
eduroam,44:12:44:6d:49:b1,-79,0,868,565
eduroam,44:12:44:6a:05:d1,-75,0,868,565
eduroam,44:12:44:6d:1e:01,-77,0,868,565
eduroam,44:12:44:6d:c5:51,-72,0,868,565
eduroam,44:12:44:6c:77:01,-81,0,868,565
eduroam,44:12:44:6b:96:21,-68,0,868,565
